,Embedding,Num_layers,Size,Dropout,Reg,Gen.,Prec.,Fit.,average
20,Yes,1,32,0.2,0.0,0.0,0.9456770833333334,0.9535557954516648,0.6330776262616661
21,Yes,1,32,0.2,1e-05,0.050372718634595706,0.948354166666667,0.9558320468750648,0.6515196440587759
22,Yes,1,32,0.2,0.0001,0.5716852366139635,0.9414270833333335,0.9444981123476099,0.8192034774316358
23,Yes,1,32,0.2,0.001,0.7043822611013025,0.8554583333333335,0.8567680994670148,0.8055362313005503
24,Yes,1,32,0.2,0.01,0.24274413562350566,0.2931979166666668,0.2936810511462949,0.27654103447882245
25,Yes,1,32,0.4,0.0,0.0011904761904761906,0.9426562500000001,0.9505011809154582,0.6314493023686448
26,Yes,1,32,0.4,1e-05,0.04723966965443657,0.9464687500000002,0.9539634198095247,0.6492239464879872
27,Yes,1,32,0.4,0.0001,0.5085955029580752,0.9392604166666667,0.9429116376608785,0.7969225190952067
28,Yes,1,32,0.4,0.001,0.31000454597360194,0.4855104166666666,0.48696090395824737,0.42749195553283864
29,Yes,1,32,0.4,0.01,0.20266205786977104,0.2308125000000001,0.2310693871135977,0.22151464832778958
30,Yes,1,64,0.0,0.0,0.005434782608695652,0.9490312500000002,0.9568828622762011,0.6371162982949657
31,Yes,1,64,0.0,1e-05,0.0941224356433581,0.9455208333333337,0.9525989232325951,0.664080730736429
32,Yes,1,64,0.0,0.0001,0.6153397544974758,0.9423333333333335,0.94510920156326,0.8342607631313563
33,Yes,1,64,0.0,0.001,0.6212502604041272,0.9301770833333337,0.9327866065084705,0.8280713167486438
34,Yes,1,64,0.0,0.01,0.6501040161906445,0.8979270833333335,0.9000367982069108,0.816022632576963
35,Yes,1,64,0.2,0.0,0.0049504950495049506,0.9459270833333335,0.9537624575484372,0.634880011977092
36,Yes,1,64,0.2,1e-05,0.04553066798012499,0.9476979166666668,0.955224404885113,0.6494843298439682
37,Yes,1,64,0.2,0.0001,0.6643431498810028,0.9447708333333337,0.94708342296781,0.8520658020607156
38,Yes,1,64,0.2,0.001,0.7680341433570017,0.9323750000000001,0.933816659494504,0.8780752676171687
39,Yes,1,64,0.2,0.01,0.23478094816560302,0.30065625000000007,0.30120728990228013,0.27888149602262774
40,Yes,1,64,0.4,0.0,0.0,0.9474062500000002,0.9552988926061751,0.6342350475353918
41,Yes,1,64,0.4,1e-05,0.08592577655464055,0.9476354166666668,0.9548243477077893,0.6627951803096989
42,Yes,1,64,0.4,0.0001,0.7170833563724345,0.9462916666666669,0.9482595987285285,0.8705448739225433
43,Yes,1,64,0.4,0.001,0.35045221897257356,0.46427083333333335,0.46530361338155385,0.4266755552291536
44,Yes,1,64,0.4,0.01,0.1527597283746858,0.2395937500000001,0.24033412588141706,0.21089586808536764
45,Yes,2,16,0.0,0.0,0.0012376237623762376,0.9487812500000001,0.9566751111730559,0.6355646616451441
46,Yes,2,16,0.0,1e-05,0.07953638120936767,0.9465937500000002,0.9538359577018329,0.6599886963037336
47,Yes,2,16,0.0,0.0001,0.6000740506966789,0.9405729166666669,0.9434378384296865,0.8280282685976773
48,Yes,2,16,0.0,0.001,0.5513672611482289,0.9255729166666669,0.928702740849004,0.8018809728879664
49,Yes,2,16,0.0,0.01,0.0,0.0,0.0,0.0
50,Yes,2,16,0.2,0.0,0.011945314481546366,0.936479166666667,0.9441852546628968,0.6308699119370367
51,Yes,2,16,0.2,1e-05,0.2938634768147229,0.9429687500000002,0.9485124384845349,0.7284482217664193
52,Yes,2,16,0.2,0.0001,0.7143196546886291,0.9427708333333337,0.9447106732586578,0.8672670537602069
53,Yes,2,16,0.2,0.001,0.2685862493752603,0.2836458333333334,0.283776058128487,0.27866938027902693
54,Yes,2,16,0.2,0.01,0.0,0.0,0.0,0.0
55,Yes,2,16,0.4,0.0,0.5045983517937963,0.9187604166666672,0.9222432177953807,0.7818673287519481
56,Yes,2,16,0.4,1e-05,0.7793178195255174,0.9424270833333335,0.9438493415128577,0.8885314147905695
57,Yes,2,16,0.4,0.0001,0.697871536907175,0.8898229166666667,0.8915022425925078,0.8263988987221165
58,Yes,2,16,0.4,0.001,0.10543757701417156,0.13601041666666677,0.13626631514339832,0.12590476960807886
59,Yes,2,16,0.4,0.01,0.0,0.0,0.0,0.0
60,Yes,2,32,0.0,0.0,0.002567410996418791,0.9483125000000003,0.9561902042481484,0.6356900384148558
61,Yes,2,32,0.0,1e-05,0.030759487899466465,0.945666666666667,0.9532808932357909,0.6432356826006415
